report,datetime,coords,Did you follow the GTOA protocol (drop sails\ stop boat\ engine off and keep a low profile) and how long did the interaction continue?,Boat Type,Boat length (metres),Were you towing an inflatable and if so did the orcas interact with it before interacting with the boat?,Were you trailing a fishing lure when the interaction commenced?,During the Interaction did one or more orcas make physical contact with the boat?,Number of adult orcas seen,Rudder,Motoring or sailing,Speed (knots),Sea state,Wind speed (Beaufort),Darkness or daylight,Cloud cover,Distance off land (nautical miles),Depth (metres),Depth gauge,Autopilot,Hull topsides colour,Antifoul colour,Was the boat damaged and in need of repair?,Was a tow required?,Response by crew,Behaviour of orcas,Stage of day,Moon,Tide,Number of juvenile orcas seen,Did you manage to reverse before the orca hit the boat?,Did the orca hit the rudder?,Did the orca hit the bow?,Did any method stop the orca hitting the rudder? (Tick any method that worked),Did they return?,Number of orcas\ uncertain of age\ seen,How did you reverse? (Tick any method you tried),How long did you reverse for?,If you reversed in a circle did the orcas hit the rudder by coming from,Did the orca leave the area when you reversed?,Please describe the behaviour of the orca before and during reversing,When they returned were you
Report ID: Inter16,2022-06-04 10:30:00,36 3.0000 N\ 6 25.0000 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,Over 10,40 - 200m,,,White/light,Black,Yes\ moderate - immediate repairs required,Yes,This is from a report obtained by GTOA together with information found on social media including a video. The orcas were not seen before the interaction commenced. The crew initially reversed but then turned off the engine. The crew also poured petrol (or possibly diesel) over the stern but the video shows that this had no effect and the orcas are seen swimming in the area immediately as the fuel was poured. In the first part of the attack approximately 30cm of the lower part of the rudder was removed. Eventually a large Azimut motor yacht assisted by circling the yacht at high speed and this “distracted” the orcas (we assume this statement means that the interaction ended but cannot be certain). The yacht was sailed towards port but required a tow into the marina as the engine sounded very poorly after the interaction.,There were 6 or 7 orcas involved and the crew believed that all acted. The orcas appeared to have no sensitivity to the fuel that was poured overboard. [Note that the scientists at GTOA have advised that orcas do not detect fuel\ and that is why Oikomi pipes have been used to keep orcas away from oil spills.],daytime,waxing\20% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter15,2022-06-06 06:00:00,36 10.0000 N\ 6 15.0000 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Fishing Vessel,Under 10m,,,,,,Hove-to,0 - 2,,,Dawn,,5 - 10,20 - 40m,,,White/light,Red,Yes\ moderate - immediate repairs required,No,This report was obtained by GTOA. The boat was stopped with the engine running as the crew had just set the fishing gear. The first they knew of the interaction was when the stern was hit hard. They started to motor away but the hits continued on the side of the boat. They headed towards larger fishing boats to get help. At one point the orcas left and hit another small but newer boat (which wasn’t damaged). However they returned and carried on hitting the sides until they reached larger boats and at that point the orcas went away. The boat was damaged and more water entered the hull than before. The rudder was lifted. Repairs were required and the boat spent two weeks ashore. The crew believed that had they been fully laden the boat would have been capsized.,There were four orcas and they all acted. They hit the stern first and then hit the sides. The interaction only ended after 30 minutes as the larger fishing boats were able to assist (this interaction has been recorded as 30-60 minutes).,dawn twilight,waxing\36% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter14,2022-07-22 17:20:00,40 24.5000 N\ 8 53.6000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Motorsailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,25 - 50%,2 - 5,20 - 40m,On,On,White/light,Black,Yes\ moderate - immediate repairs required,No,Attack during 5 Minutes. Hits to the rudder - no bite (\checked by a diver).,,daytime,waning\30% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter13,2022-06-04 02:30:00,36 8.0000 N\ 6 21.0000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,,,,,,Motoring,5 - 7,,,Night,,Over 10,40 - 200m,,,White/light,Black,Yes\ extensive - major works required,Yes,From a report obtained by GTOA. The yacht is a fibreglass trimaran with single rudder (type not specified) It was dark and no orcas were seen. The crew were aware of the interaction because of the movement of the boat and rudder. The engine was switched off when the interaction was felt. It only lasted 5 minutes but in that time the entire fibreglass part of the rudder was removed\ leaving only the steel part. There were no hull strikes\ only the rudder was hit.,We could not see the animals as it was dark.,before dawn,waxing\18% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter12,2022-06-04 08:00:00,36 4.4000 N\ 5 59.9000 W,Yes\ followed protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,,,,,Spade,Motoring,3 - 4,,0 - 2 (0 - 6 knots),Day,,5 - 10,40 - 200m,On,On,White/light,Black,Yes\ minor - will wait until the end of the season,No,This report was obtained by GTOA. I stopped the boat immediately because I had read in a news article about similar incidents that that was the right thing to do. I also turned off the autopilot right away so that the orca wouldn't damage the drive. Then I shut down the engine completely because I thought the noise might bother the orca. I was able to keep navigating\ although the steering quadrant seems to have a lot of play now. I think I might have to replace the upper rudder bushing\ but I won't be able to tell for sure until I haul the boat out of the water in September. The rudder is quite a long lever\ and it's hard to believe that the force of an animal that big on a lever that long would leave no damage whatsoever. But I sailed on for six more days to Corsica with no problems.,This report was obtained by GTOA. It was only one orca that I was aware of. I saw him about 100m away shortly before he first struck.,daytime,waxing\20% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter11,2022-06-01 12:30:00,36 20.1000 N\ 6 16.7400 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,,,,,Twin rudder,Sailing,,,,Day,,2 - 5,20 - 40m,On,On,White/light,Black,Yes\ extensive - major works required,Yes,This report was obtained by an interview with a GTOA member. One orca was seen near a fisherman who was gathering his net. It disappeared but was then seen about 30m away. When it arrived the crew dropped the sails and turned off all electrical systems. Initially they tried to deter it with a boat hook and they shouted at it and switched on one engine but quickly decided to stop that for fear of increasing the aggression. After that they sat still. The protocol cannot be said to have been followed due to the initial reaction. Both rudders were damaged including metal structural elements and the autopilot and one propeller may be damaged. There was concern that water ingress might occur due to the nature and extent of the damage. The boat was towed to port by the maritime rescue service.,There was a single orca. The crew saw it 30m away and it went straight for the rudders before doing anything else. It broke one rudder and then the other on the catamaran. It started to hit the daggerboards but the crew lifted them without damage. The orca then started to hit the hulls with its head\ gathering momentum. The interaction lasted 60 minutes. This seemed very much like an aggressive attack rather than play.,daytime,waxing\4% illuminated\within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter10,2022-07-16 21:15:00,43 1.4000 N\ 9 32.8000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,Over 15m,Not towing,,,,Spade,Motorsailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Dusk,75 - 100%,Over 10,200m+,On,On,Dark colour,Black,No,No,The group of Orcas\ we saw at least 2\ probably 1 or 2 more\ approached us from the stern very fast. The minimum distance was about 150-200m. They stayed for maybe 30 seconds and than disappeared without approaching any further.,Very fast and excited approach from the stern compared to normal dolphin or whale sightings,daytime,waning\87% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
Report ID: Inter9,2022-07-12 04:05:00,47 6.0000 N\ 5 30.0000 W,No\ did not follow protocol\ interaction lasted 30 to 60 minutes,Sail,12.5 - 15m,Not towing,,,,Spade,Motorsailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Night,0 - 25%,Over 10,40 - 200m,On,Off,White/light,Coppercoat,No,No,At first i noticed the presence by blows and dorsal fins less than 30 m from the boat\ then I had massive readings on the sounder showing 40 cm distance for a prolonged period\ app. 1 min. repeated several times at 30 cm-60 cm. One can describe it not being an interaction\ but they stayed very close to the boat for app. one hour. I turned off the autopilot\ and decided to continue \ being ready at the slightest indication of contact\ but i felt nothing\ just noticed them being extremely close for a prolonged period. I did so because I was of the idea that the interacting orcas should not be in this area at the time. On the passing Biscay we saw orcas nearby on 3 other occasions\ and saw schools of bluefin tuna .,,before dawn,waxing\96% illuminated\within 3 days of full,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter8,2022-07-06 07:15:00,35 59.0000 N\ 5 55.0000 W,No\ did not follow protocol\ interaction lasted less than 10 minutes,Sail,12.5 - 15m,Not towing,,,,Twin rudder,Motorsailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Black,No,No,We were following another sail boat from Portimao to Gibraltar. The plan was to travel as close as possible to the cargo shipping lanes. At around 7am\ the boat in front of us starting doing weird things on my Garmin screen. After 5 minutes\ I was going to call him on the radio to inquire what was the problem but then he called me to say that 3 orcas started swimming around his boat and that on two occasions\ he felt they were hitting to hull or the rudder. It lasted 5 minutes because he put his engine into reverse and they suddenly left. He told me to keep a good watch. 15 minutes later\ when I passed the same spot where he had the interaction\ I saw two orcas coming from my starboard side and coming under my boat . I immediately turned my second engine on and started going astern as fast as possible and in rounds for about 5 minutes. I never felt any hit and they completely disappeared from the first time I saw them. And that was it… they never never came back…,They appeared from my starboard\ went under the boat and disappeared,daytime,waxing\41% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,
Report ID: Inter7,2022-07-03 18:30:00,39 24.6240 N\ 9 38.4150 W,Yes\ followed protocol\ interaction lasted 10 to 30 minutes,Sail,10 - 12.5m,Not towing,,,,Twin rudder,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,50 - 75%,Over 10,200m+,On,On,White/light,Black,Yes\ extensive - major works required,No,Nous naviguions à la voile avec un catamaran de 12 mètres au large de Peniche lorsque nous avons aperçu deux orques. Elles ont immédiatement frappé le safran. J'ai tout de suite arrêté l'auto pilot\ affalé les voiles et laissé le bateau à la dérive. Elles ont donné des coups dans le safran et fait tourné le bateau pendant une dizaine de minutes puis sont parties. J'ai rallumé les moteurs et ai commencé à repartir mais elles sont aussitôt revenues\ j'ai de nouveau tout coupé et elles sont restées cette fois ci une demi heure de plus. /// We were sailing with a 12 meter catamaran off Peniche when we saw two killer whales. They immediately hit the rudder. I immediately stopped the autopilot\ lowered the sails and left the boat drift. They hit the rudder and turned the boat around for about ten minutes and then left. I turned on the engines again and started to drive away but they came back immediately\ I turned everything off again and they stayed this time for half an hour longer.,Relativement calme\ allant sous le bateau\ donnant des coups dans la pelle de safran\ faisant des bulles sous la surface. Pas de vocalisation entendues\ elles ont frotté leurs museaux sur les bords de la coque./// Relatively calm\ going under the boat\ hitting the rudder blade\ blowing bubbles under the surface. No vocalization heard\ they rubbed their snouts on the edges of the hull.,daytime,waxing\18% illuminated,Within 3 days of spring tide,,,,,,,,,,,,,,
